Unnamed: 0,Name,Last,High,Low,Chg.,Chg. %,Vol.,Time,Unnamed: 9
,Tesla,235.45,238.75,232.33,+1.24,+0.53%,65.02M,24/11,
,NVIDIA,477.76,489.21,477.45,-9.40,-1.93%,29.37M,24/11,
,Apple,189.97,190.9,189.25,-1.34,-0.70%,24.04M,24/11,
,Ford Motor,10.4,10.53,10.28,+0.14,+1.36%,22.02M,24/11,
,Amazon.com,146.74,147.2,145.32,+0.03,+0.02%,21.61M,24/11,
,AMD,122.31,123.25,121.54,-0.20,-0.16%,18.99M,24/11,
,Riot Platforms,12.02,12.26,11.42,+0.42,+3.62%,18.29M,24/11,
,Mullen Automotive,0.175,0.18,0.1717,0.0000,0.00%,16.10M,24/11,
,Bank of America,29.73,29.89,29.48,+0.10,+0.34%,15.75M,24/11,
,Petroleo Brasileiro Petrobras ADR,15.33,15.74,15.29,+0.03,+0.20%,15.48M,24/11,
,Intel,43.96,44.0,43.61,+0.29,+0.66%,13.03M,24/11,
,Vale ADR,15.06,15.16,15.02,-0.15,-0.99%,12.54M,24/11,
,Alphabet A,136.69,138.13,135.99,-1.80,-1.30%,12.51M,24/11,
,AT&T,16.21,16.32,16.2,+0.04,+0.25%,12.43M,24/11,
,Pfizer,30.5,30.7,30.38,+0.18,+0.59%,11.13M,24/11,
,Seelos Therapeutics,0.131,0.162,0.12,-0.039,-22.95%,11.08M,24/11,
,Grupo Televisa ADR,2.53,2.55,2.38,-0.02,-0.78%,9.52M,24/11,
,Exxon Mobil,104.57,105.46,103.91,+0.56,+0.54%,9.48M,24/11,
,Microsoft,377.43,377.97,375.14,-0.42,-0.11%,9.38M,24/11,
,Macy’s Inc,14.87,15.02,14.6,+0.03,+0.20%,8.88M,24/11,
,Nordstrom,15.05,15.19,14.39,+0.84,+5.91%,8.51M,24/11,
,Transocean,6.56,6.59,6.32,+0.270,+4.29%,8.13M,24/11,
,Cisco,48.36,48.4,48.05,+0.28,+0.58%,7.92M,24/11,
,AGNC Invest,8.71,8.84,8.69,-0.08,-0.91%,7.59M,24/11,
,CSX,32.64,32.64,32.38,+0.09,+0.28%,7.22M,24/11,
,Barrick Gold,16.23,16.34,16.11,-0.01,-0.06%,7.11M,24/11,
,PG E,18.02,18.02,17.92,+0.05,+0.28%,6.95M,24/11,
,Warner Bros Discovery,10.85,10.95,10.61,+0.19,+1.78%,6.79M,24/11,
,Verizon,37.41,37.57,37.3,+0.06,+0.16%,6.77M,24/11,
,Kinross Gold,5.59,5.65,5.57,+0.040,+0.72%,6.03M,24/11,
,Citigroup,45.23,45.52,44.84,+0.21,+0.47%,5.94M,24/11,
,General Motors,28.17,28.5,28.12,+0.07,+0.25%,5.86M,24/11,
,Comcast,42.58,42.73,42.4,+0.10,+0.24%,5.86M,24/11,
,Southwestern Energy,6.83,6.9,6.69,+0.110,+1.64%,5.60M,24/11,
,Newmont Goldcorp,37.59,37.86,37.53,-0.10,-0.27%,5.58M,24/11,
,Walt Disney,96.06,96.51,94.9,+0.99,+1.04%,5.44M,24/11,
,Qurate Retail A,0.7704,0.7704,0.66,+0.1007,+15.04%,5.38M,24/11,
,JetBlue,4.24,4.31,4.2,+0.03,+0.71%,5.29M,24/11,
,Wells Fargo&Co,42.92,43.11,42.73,+0.14,+0.33%,5.29M,24/11,
